title,category,rating_num,price_gbp,price_bucket
"Love, Lies and Spies",Historical Fiction,2,20.55,mid
A Paris Apartment,Historical Fiction,4,39.01,high
Lilac Girls,Historical Fiction,2,17.28,low
The Constant Princess (The Tudor Court #1),Historical Fiction,3,16.62,low
The Invention of Wings,Historical Fiction,1,37.34,high
World Without End (The Pillars of the Earth #2),Historical Fiction,4,32.97,mid
The Passion of Dolssa,Historical Fiction,5,28.32,mid
Girl With a Pearl Earring,Historical Fiction,1,26.77,mid
Voyager (Outlander #3),Historical Fiction,5,21.07,mid
The Red Tent,Historical Fiction,5,35.66,high
The Last Painting of Sara de Vos,Historical Fiction,2,55.55,high
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,1,49.53,high
Girl in the Blue Coat,Historical Fiction,2,46.83,high
Between Shades of Gray,Historical Fiction,5,20.79,mid
While You Were Mine,Historical Fiction,5,41.32,high
The Secret Healer,Historical Fiction,3,34.56,mid
Starlark,Historical Fiction,3,25.83,mid
Lost Among the Living,Historical Fiction,4,27.7,mid
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,5,16.97,low
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,52.29,high
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,16.28,low
This One Summer,Sequential Art,4,19.49,low
The Nameless City (The Nameless City #1),Sequential Art,4,38.16,high
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,2,51.04,high
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,3,50.4,high
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,13.61,low
"Pop Gun War, Volume 1: Gift",Sequential Art,1,18.97,low
Patience,Sequential Art,3,10.16,low
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,4,15.44,low
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,1,48.41,high
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,2,46.91,high
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,3,45.61,high
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,2,19.92,low
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,2,29.17,mid
I am a Hero Omnibus Volume 1,Sequential Art,3,54.63,high
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,2,22.11,mid
Danganronpa Volume 1,Sequential Art,4,51.99,high
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,4,36.72,high
Camp Midnight,Sequential Art,4,17.08,low
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,2,37.92,high
The Shadow Hero (The Shadow Hero),Sequential Art,1,33.14,mid
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,4,41.62,high
Batman: The Long Halloween (Batman),Sequential Art,2,36.5,high
Batman: The Dark Knight Returns (Batman),Sequential Art,5,15.38,low
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,4,37.34,high
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,1,53.9,high
Through the Woods,Sequential Art,2,25.38,mid
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,5,11.89,low
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,4,35.43,high
Robin War,Sequential Art,3,47.82,high
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,2,25.48,mid
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,2,38.39,high
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,2,51.51,high
El Deafo,Sequential Art,5,57.62,high
Batman: Europa,Sequential Art,2,32.01,mid
Art Ops Vol. 1,Sequential Art,3,48.8,high
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,2,10.9,low
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,4,33.95,mid
Roller Girl,Sequential Art,5,14.1,low
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,1,19.57,low
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,4,20.96,mid
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,3,36.39,high
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,1,16.33,low
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,1,52.41,high
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,2,27.88,mid
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,4,50.44,high
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,3,14.41,low
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,5,55.55,high
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,5,21.57,mid
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,3,43.63,high
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,1,39.13,high
Original Fake,Sequential Art,3,31.45,mid
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,1,42.72,high
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,2,45.17,high
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,1,49.31,high
Awkward,Sequential Art,2,38.02,high
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,1,54.81,high
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,3,11.75,low
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,5,11.64,low
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,4,18.51,low
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,2,36.52,high
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,3,54.12,high
The Complete Maus (Maus #1-2),Sequential Art,3,10.64,low
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,3,42.12,high
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,1,28.48,mid
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,5,46.96,high
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,4,21.71,mid
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,3,29.87,mid
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,4,39.39,high
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,3,45.24,high
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,4,56.76,high
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,5,40.28,high
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,5,34.65,mid
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,4,57.06,high
The Secret Garden,Classics,4,15.08,low
The Metamorphosis,Classics,1,28.58,mid
The Pilgrim's Progress,Classics,2,50.26,high
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,2,14.82,low
Little Women (Little Women #1),Classics,4,28.07,mid
Gone with the Wind,Classics,3,32.49,mid
Candide,Classics,3,58.63,high
Animal Farm,Classics,3,57.22,high
Wuthering Heights,Classics,3,17.73,low
The Picture of Dorian Gray,Classics,2,29.7,mid
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,4,26.78,mid
Beowulf,Classics,2,38.35,high
And Then There Were None,Classics,2,35.01,high
The Story of Hong Gildong,Classics,4,43.19,high
The Little Prince,Classics,2,45.42,high
Sense and Sensibility,Classics,1,37.46,high
Of Mice and Men,Classics,2,47.11,high
Emma,Classics,2,32.93,mid
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,1,55.53,high
Sophie's World,Philosophy,5,15.94,low
The Death of Humanity: and the Case for Life,Philosophy,4,58.11,high
The Stranger,Philosophy,4,17.44,low
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,1,54.21,high
Kierkegaard: A Christian Missionary to Christians,Philosophy,1,47.13,high
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,5,29.93,mid
Critique of Pure Reason,Philosophy,1,20.75,mid
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,1,20.02,mid
The Nicomachean Ethics,Philosophy,1,36.34,high
Meditations,Philosophy,2,25.89,mid
Beyond Good and Evil,Philosophy,1,43.38,high
Chase Me (Paris Nights #2),Romance,5,25.27,mid
Black Dust,Romance,5,34.53,mid
Her Backup Boyfriend (The Sorensen Family #1),Romance,1,33.97,mid
First and First (Five Boroughs #3),Romance,4,15.97,low
Fifty Shades Darker (Fifty Shades #2),Romance,1,21.96,mid
The Wedding Dress,Romance,1,24.12,mid
Suddenly in Love (Lake Haven #1),Romance,2,55.99,high
Something More Than This,Romance,4,16.24,low
Doing It Over (Most Likely To #1),Romance,3,35.61,high
The Wedding Pact (The O'Malleys #2),Romance,3,32.61,mid
Hold Your Breath (Search and Rescue #1),Romance,1,28.82,mid
Dirty (Dive Bar #1),Romance,4,40.83,high
Take Me Home Tonight (Rock Star Romance #3),Romance,3,53.98,high
Off the Hook (Fishing for Trouble #1),Romance,3,47.67,high
A Gentleman's Position (Society of Gentlemen #3),Romance,5,14.75,low
"Sit, Stay, Love",Romance,3,20.9,mid
A Girl's Guide to Moving On (New Beginnings #2),Romance,1,31.3,mid
The Perfect Play (Play by Play #1),Romance,3,59.99,high
Dark Lover (Black Dagger Brotherhood #1),Romance,1,12.87,low
Changing the Game (Play by Play #2),Romance,3,13.38,low
A Walk to Remember,Romance,1,56.43,high
The Purest Hook (Second Circle Tattoos #3),Romance,1,12.25,low
The Obsession,Romance,1,45.43,high
Reservations for Two,Romance,3,11.1,low
Best of My Love (Fool's Gold #20),Romance,2,27.41,mid
Where Lightning Strikes (Bleeding Stars #3),Romance,3,39.77,high
This One Moment (Pushing Limits #1),Romance,1,48.71,high
"Rhythm, Chord & Malykhin",Romance,2,28.34,mid
My Perfect Mistake (Over the Top #1),Romance,2,38.92,high
Listen to Me (Fusion #1),Romance,3,58.99,high
Imperfect Harmony,Romance,4,34.74,mid
Fighting Fate (Fighting #6),Romance,3,39.24,high
Deep Under (Walker Security #1),Romance,5,47.09,high
Charity's Cross (Charles Towne Belles #4),Romance,1,41.24,high
Bounty (Colorado Mountain #7),Romance,4,37.26,high
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,4,57.36,high
Will You Won't You Want Me?,Womens Fiction,3,13.86,low
Keep Me Posted,Womens Fiction,4,20.46,mid
Grey (Fifty Shades #4),Womens Fiction,4,48.49,high
Meternity,Womens Fiction,3,43.58,high
Some Women,Womens Fiction,5,13.73,low
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,5,48.39,high
Can You Keep a Secret?,Womens Fiction,1,21.94,mid
Twenties Girl,Womens Fiction,2,42.8,high
The Undomestic Goddess,Womens Fiction,4,45.75,high
The Nanny Diaries (Nanny #1),Womens Fiction,5,52.53,high
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,1,44.29,high
Something Borrowed (Darcy & Rachel #1),Womens Fiction,5,48.96,high
Something Blue (Darcy & Rachel #2),Womens Fiction,1,54.62,high
I've Got Your Number,Womens Fiction,1,19.69,low
The Edge of Reason (Bridget Jones #2),Womens Fiction,4,19.18,low
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,1,29.82,mid
Soumission,Fiction,1,50.1,high
Private Paris (Private #10),Fiction,5,47.61,high
"We Love You, Charlie Freeman",Fiction,5,50.27,high
Thirst,Fiction,5,17.27,low
The Murder That Never Was (Forensic Instincts #5),Fiction,3,54.11,high
Tuesday Nights in 1980,Fiction,2,21.04,mid
The Vacationers,Fiction,4,42.15,high
The Regional Office Is Under Attack!,Fiction,5,51.36,high
Finders Keepers (Bill Hodges Trilogy #2),Fiction,5,53.53,high
The Time Keeper,Fiction,5,27.88,mid
The Testament of Mary,Fiction,4,52.67,high
The First Hostage (J.B. Collins #2),Fiction,3,25.85,mid
Take Me with You,Fiction,3,45.21,high
Still Life with Bread Crumbs,Fiction,3,26.41,mid
Shtum,Fiction,4,55.84,high
My Name Is Lucy Barton,Fiction,1,41.56,high
My Mrs. Brown,Fiction,3,24.48,mid
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,1,28.9,mid
I Am Pilgrim (Pilgrim #1),Fiction,4,10.6,low
Eligible (The Austen Project #4),Fiction,3,27.09,mid
Eight Hundred Grapes,Fiction,4,14.39,low
Dear Mr. Knightley,Fiction,5,11.21,low
Cometh the Hour (The Clifton Chronicles #6),Fiction,3,25.01,mid
Balloon Animals,Fiction,3,17.03,low
A Man Called Ove,Fiction,1,39.72,high
The Silent Sister (Riley MacPherson #1),Fiction,5,46.29,high
The Dinner Party,Fiction,2,56.54,high
The Improbability of Love,Fiction,1,59.45,high
Mothering Sunday,Fiction,2,13.34,low
Lies and Other Acts of Love,Fiction,1,45.14,high
Daredevils,Fiction,3,16.34,low
11/22/63,Fiction,3,48.48,high
The Shack,Fiction,1,28.03,mid
The High Mountains of Portugal,Fiction,1,51.15,high
Miller's Valley,Fiction,2,58.54,high
Hystopia: A Novel,Fiction,4,21.96,mid
The Bourne Identity (Jason Bourne #1),Fiction,4,42.78,high
Sister Dear,Fiction,4,40.2,high
Memoirs of a Geisha,Fiction,3,49.67,high
Me Before You (Me Before You #1),Fiction,1,19.02,low
Deception Point,Fiction,4,40.32,high
The Little Paris Bookshop,Fiction,3,24.73,mid
The Firm,Fiction,3,45.56,high
The Expatriates,Fiction,2,44.58,high
Siddhartha,Fiction,5,34.22,mid
Last One Home (New Beginnings #1),Fiction,3,59.98,high
Digital Fortress,Fiction,5,58.0,high
Atlas Shrugged,Fiction,5,26.58,mid
Three-Martini Lunch,Fiction,3,23.21,mid
The Nightingale,Fiction,4,26.26,mid
The Infinities,Fiction,1,27.41,mid
The Husband's Secret,Fiction,5,52.51,high
The Da Vinci Code (Robert Langdon #2),Fiction,2,22.96,mid
The Art of Fielding,Fiction,1,22.1,mid
Lila (Gilead #3),Fiction,3,12.47,low
Jurassic Park (Jurassic Park #1),Fiction,1,44.97,high
Inferno (Robert Langdon #4),Fiction,5,41.0,high
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,5,49.13,high
Big Little Lies,Fiction,1,22.11,mid
The Course of Love,Fiction,3,16.78,low
When I'm Gone,Fiction,3,51.96,high
The Silent Wife,Fiction,5,12.34,low
The Bette Davis Club,Fiction,3,30.66,mid
Kitchens of the Great Midwest,Fiction,5,57.2,high
Bright Lines,Fiction,5,39.07,high
Birdsong: A Story in Pictures,Childrens,3,54.64,high
The Bear and the Piano,Childrens,1,36.89,high
The Secret of Dreadwillow Carse,Childrens,1,56.13,high
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,4,58.08,high
Little Red,Childrens,3,13.47,low
Walt Disney's Alice in Wonderland,Childrens,5,12.96,low
Twenty Yawns,Childrens,2,22.08,mid
Rain Fish,Childrens,3,23.57,mid
Once Was a Time,Childrens,2,18.28,low
Luis Paints the World,Childrens,3,53.95,high
Nap-a-Roo,Childrens,1,25.08,mid
The Whale,Childrens,4,35.96,high
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,3,52.87,high
Raymie Nightingale,Childrens,2,34.41,mid
Playing from the Heart,Childrens,1,32.38,mid
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,1,22.54,mid
The Wild Robot,Childrens,3,56.07,high
The Thing About Jellyfish,Childrens,1,48.77,high
The Lonely Ones,Childrens,5,43.59,high
The Day the Crayons Came Home (Crayons),Childrens,5,26.33,mid
The Cat in the Hat (Beginner Books B-1),Childrens,2,16.26,low
Red: The True Story of Red Riding Hood,Childrens,3,28.54,mid
Horrible Bear!,Childrens,2,37.52,high
Green Eggs and Ham (Beginner Books B-16),Childrens,4,10.79,low
Counting Thyme,Childrens,1,10.62,low
Are We There Yet?,Childrens,3,10.66,low
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,4,52.88,high
Matilda,Childrens,1,28.34,mid
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,3,22.85,mid
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,2,37.97,high
You Are What You Love: The Spiritual Power of Habit,Religion,4,21.87,mid
God: The Most Unpleasant Character in All Fiction,Religion,5,30.03,mid
The Book of Mormon,Religion,3,24.57,mid
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,1,27.62,mid
The Bhagavad Gita,Religion,3,57.49,high
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,4,28.42,mid
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,40.3,high
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,31.05,mid
Reasons to Stay Alive,Nonfiction,2,26.41,mid
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,23.11,mid
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,44.18,high
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,3,31.12,mid
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,3,16.77,low
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,1,37.13,high
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,1,56.06,high
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,4,41.83,high
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,2,19.83,low
In the Country We Love: My Family Divided,Nonfiction,4,22.0,mid
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,2,54.35,high
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,5,29.14,mid
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,1,30.81,mid
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,2,43.54,high
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,2,38.21,high
The Genius of Birds,Nonfiction,1,17.24,low
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,5,38.49,high
So You've Been Publicly Shamed,Nonfiction,2,12.23,low
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,3,19.43,low
Big Magic: Creative Living Beyond Fear,Nonfiction,3,30.8,mid
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,2,27.43,mid
Agnostic: A Spirited Manifesto,Nonfiction,5,12.51,low
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,4,38.2,high
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,2,19.6,low
The Year of Magical Thinking,Nonfiction,2,43.04,high
The Literature Book (Big Ideas Simply Explained),Nonfiction,3,17.43,low
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Nonfiction,1,15.77,low
Swell: A Year of Waves,Nonfiction,1,45.58,high
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,2,21.95,mid
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,5,29.14,mid
Let It Out: A Journey Through Journaling,Nonfiction,5,26.79,mid
Hamilton: The Revolution,Nonfiction,3,58.79,high
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,4,15.06,low
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,5,51.75,high
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,4,37.8,high
Brain on Fire: My Month of Madness,Nonfiction,5,49.32,high
Abstract City,Nonfiction,5,56.37,high
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,1,27.06,mid
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,2,33.26,mid
The Diary of a Young Girl,Nonfiction,3,59.9,high
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,3,21.21,mid
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,4,41.46,high
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,4,11.68,low
"Mother, Can You Not?",Nonfiction,5,16.89,low
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,3,19.53,low
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,2,24.57,mid
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,2,35.92,high
"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,3,34.06,mid
Why Not Me?,Nonfiction,1,17.76,low
When Breath Becomes Air,Nonfiction,2,39.36,high
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,4,28.45,mid
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,5,38.89,high
Rising Strong,Nonfiction,3,21.82,mid
Man's Search for Meaning,Nonfiction,3,29.48,mid
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,2,25.06,mid
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,3,12.55,low
I Will Find You,Nonfiction,1,44.21,high
Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,2,19.22,low
Between the World and Me,Nonfiction,4,56.91,high
Being Mortal: Medicine and What Matters in the End,Nonfiction,4,55.06,high
"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,3,13.2,low
For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,3,45.13,high
Finding God in the Ruins: How God Redeems Pain,Nonfiction,2,46.64,high
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,4,59.45,high
In Cold Blood,Nonfiction,4,49.98,high
"Girl, Interrupted",Nonfiction,3,42.14,high
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,2,48.67,high
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,4,25.15,mid
My Mother Was Nuts,Nonfiction,4,31.63,mid
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,3,32.35,mid
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,3,38.71,high
The Gunning of America: Business and the Making of American Gun Culture,Nonfiction,4,16.81,low
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Nonfiction,2,28.23,mid
God Is Not Great: How Religion Poisons Everything,Nonfiction,1,27.8,mid
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,Nonfiction,3,31.95,mid
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,Nonfiction,3,50.66,high
"Unstuffed: Decluttering Your Home, Mind, and Soul",Nonfiction,1,58.09,high
Under the Banner of Heaven: A Story of Violent Faith,Nonfiction,1,30.0,mid
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",Nonfiction,1,53.51,high
The Name of God is Mercy,Nonfiction,2,37.25,high
Stiff: The Curious Lives of Human Cadavers,Nonfiction,3,36.74,high
Spilled Milk: Based on a True Story,Nonfiction,1,49.51,high
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nonfiction,4,41.67,high
Outliers: The Story of Success,Nonfiction,1,14.16,low
Notes from a Small Island (Notes From a Small Island #1),Nonfiction,1,40.17,high
Night (The Night Trilogy #1),Nonfiction,1,13.51,low
